device,chipset,system,game,performance,emulator,resolution,rom region,notes,date added
Retroid Pocket 5,sd865,ps2,.Hack//Infection,Perfect,NetherSX2 (3668),5x Native,NTSC,"Ran at a solid 30fps even at 5x native, and even still had room to fast forward. ",2024/12/14
Retroid Pocket 5,sd865,ps2,Ace Combat 04: Shattered Skies,Playable,NetherSX2,1x Native,NTSC,"Playable but with noticeable(~25%) slowdown when looking at the ground. Matched preferred PCSX2 settings/fixes as close as possible(search 'Ace Combat Emulation Guide'), but Aether/Nether are not quite up to snuff in their abandoned state.",2025/1/21
Retroid Pocket 5,sd865,ps2,Ace Combat 5 - The Unsung War,Playable,NetherSX2,1x Native,NTSC,"Same settings as Ace Combat Zero, only tested first story mission, 50-60 FPS at 1x Native, no visual bugs. EE Cycle Rate 100% (0), EE Cycle Skip Normal (0) Frame limit enabled, normal speed 100%, OpenGL, Bilinear (PS2), Mipmapping Automatic, Trilinear Automatic, Anisotropic disabled, Blending Accuracy Ultra, Texture Preloading Partial, Hardware Download Unsynchronized (Non-deterministic)",2025/4/1
Retroid Pocket 5,sd865,ps2,Ace Combat 5: The Unsung War,Unplayable,AetherSX2,1x Native,NTSC,"The arcade was okay, story mode story cutscenes ran perfectly, but as soon as you start playing in story mode, it lags hard. Ive tried changing backend, aspect ratio, and various other setting but it would not speed up to 100%.",2025/3/8
Retroid Pocket 5,sd865,ps2,Ace Combat Zero - The Belkan War,Playable,NetherSX2 4248,1x Native,NTSC,"60 FPS at 1x Native, no visual bugs. EE Cycle Rate 100% (0), EE Cycle Skip Normal (0) Frame limit enabled, normal speed 100%, OpenGL, Bilinear (PS2), Mipmapping Automatic, Trilinear Automatic, Anisotropic disabled, Blending Accuracy Ultra, Texture Preloading Partial, Hardware Download Unsynchronized (Non-deterministic)",2025/4/1
Retroid Pocket 5,sd865,ps2,Ape Escape 2,Perfect,NetherSX2,3x Native,NTSC,-,2024/12/19
Retroid Pocket 5,sd865,ps2,Ape Escape 3,Perfect,NetherSX2,3x Native,NTSC,-,2024/12/19
Retroid Pocket 5,sd865,ps2,Atelier Iris 2,Perfect,NetherSX2,3x Native,NTSC,"Runs like a dream. Even got the opening movie to load correctly.  Vulkan, Nearest-Neighbor, 4 x filtering. ",2024/12/17
Retroid Pocket 5,sd865,ps2,ATV Quad Power Racing 2,Unplayable,NetherSX2 Classic,0.75x Native,PAL,Doesn't work well,2024/12/15
Retroid Pocket 5,sd865,ps2,Auto Modellista,Perfect,AetherSX2,5x Native,PAL,60hz mode,2024/12/14
