device,chipset,system,game,performance,driver,emulator,update,notes,date added
Retroid Pocket 5,sd865,switch,Super Mario Bros. Wonder,Perfect,Turnip 25.3.0 R7,Eden,1,Games runs flawless no issues to report,2025/09/16
Retroid Pocket 5,sd865,switch,Marvel Ultimate Alliance 3: The Black Order,Playable,Turnip 24.3.0 9v2,Eden,0.0.3,legacy,2025/09/15
Retroid Pocket 5,sd865,switch,Kirby And The Forgotten Land,Unplayable,Mr.Purple T19,Eden,1,crashes when change sences in world 2,2025/09/15
Retroid Pocket 5,sd865,switch,Ender Magnolia Bloom In The Mist,Unplayable,Turnip 24.3.0 9v2,Eden,1,"handheld mode, high accuracy. game crashes during combat",2025/09/15
Retroid Pocket 5,sd865,switch,South Park: The Fractured Butt Whole,Unplayable,Turnip 24.3.0 9v2,Eden,0.0.3,"Game loads, can play. But when switching scenes, high chance of crash (black screen), sound continues playing",2025/09/15
Retroid Pocket 5,sd865,switch,World Of Final Fantasy Maxima,Perfect,Turnip 24.3.0 9v2,Eden,1.0.1,Perfect 30 docked. RP5 in Performance mode,2025/09/15
Retroid Pocket 5,sd865,switch,The Cruel King And The Great Hero,Perfect,Turnip 24.3.0 9v2,Eden,1,-,2025/09/15
Retroid Pocket 5,sd865,switch,A Space For The Unbound,Perfect,Turnip 24.3.0 9v2,Sudachi,1,-,2025/09/15
Retroid Pocket 5,sd865,switch,Sea Of Stars,Great,Turnip 24.3.0 9v2,Sudachi,1,"Playable and very fun, up till the point of the light switching puzzles like for the Elder Mist which makes it crash. Got to switch to Qualcomm to play, but qualcomm has missing textures that make it hard to see. You can look up for tutorials on how to pass the light puzzles and then change back to Turnip (which might be annoying) *the crashing happens at EVERY light cycle puzzle.",2025/09/15
Retroid Pocket 5,sd865,switch,Natsu-mon: 20th Century Summer Kid,Unplayable,Turnip 24.3.0 9v2,Sudachi,1,"Playable but textures are all missing. Tried Qualcomm and other turnip drivers, but the crash right at the start of the game.",2025/09/15
Retroid Pocket 5,sd865,switch,Marvel Ultimate Alliance 3: The Black Order,Unplayable,Turnip 24.3.0 9v2,Sudachi,1,Crashes right after the first cut scene,2025/09/15
Retroid Pocket 5,sd865,switch,Avatar: The Last Airbender - Quest For Balance,Great,Turnip 25.3.0-R4,Sudachi,1,"Plays pretty well, some slight lag, but turn on high performance and it should work slightly better",2025/09/15
Retroid Pocket 5,sd865,switch,Fire Emblem: Three Houses,Perfect,Turnip 24.3.0 9v2,Eden,1,Crashed a few times during specific attacks but ran perfect once shaders were cached.,2025/09/14
Retroid Pocket 5,sd865,switch,Fire Emblem: Three Houses,Great,Turnip 25.3.0-R7,Eden,1.2.0,"Spectacular performance after Eden 0.0.3 update &amp; Turnip 25.3 R7. At 1x Handheld res you can expect 40-50 FPS on Monastery, 30-40 FPS on combat (use FPS unlock patch on GBAtemp). First time shader compilation for some magic moves can be LONG, just wait it out. Further stability test may be needed to identify crashes.",2025/09/14
Retroid Pocket 5,sd865,switch,High On Life,Playable,turnip_mrpurple T19,Eden,1,"works not that bad in 25-30 fps, but the colors are strange, a lot of things are purple or green when in real game it's not",2025/09/14
Retroid Pocket 5,sd865,switch,Demon Slayer The Hinokami Chronicles,Perfect,Turnip 24.3.0 9v2,Eden,1.53,"Stable 30fps, handheld mode,",2025/09/13
